BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1C--1D--2H--2N--3N--,--,To play
1C--1D--2H--2N--,3S,6+!S + 2!H
1C--1D--2H--2N--3S--,3N,Signoff
1C--1D--2H--2N--3S--,4C,ASK distrib
1C--1D--2H--2N--3S--4C--,4D,6-2-2-3; 6-2-3-2
1C--1D--2H--2N--3S--4C--4D--,4H,Signoff
1C--1D--2H--2N--3S--4C--4D--,4N,!S SLAB 6-12
1C--1D--2H--2N--3S--4C--4D--,4S,Signoff
1C--1D--2H--2N--3S--4C--4D--,5C,!H SLAB 6-12
1C--1D--2H--2N--3S--4C--,4H,7-2-2-2
1C--1D--2H--2N--3S--4C--4H--,4N,!S SLAB 6-12
1C--1D--2H--2N--3S--4C--4H--,4S,Signoff
1C--1D--2H--2N--3S--4C--4H--,5C,!H SLAB 6-12
1C--1D--2H--2N--3S--4C--4H--,--,To play
1C--1D--2H--2N--3S--,4D,END signal
1C--1D--2H--2N--3S--,4H,!S SLAB 6-12
1C--1D--2H--2N--3S--,4S,!H SLAB 6-12
1C--1D--2H--,2S,13-15HcP; Signoff
1C--1D--,2N,10-11HcP; 4432; 4333
1C--1D--2N--,3C,Puppet-Stayman
1C--1D--2N--3C--,3D,4!H; 3-4-3-3
1C--1D--2N--3C--3D--,3H,Signoff
1C--1D--2N--3C--3D--,3N,Signoff
1C--1D--2N--3C--3D--,3S,Signoff
1C--1D--2N--3C--3D--,4C,!H SLAB 6-12
1C--1D--2N--3C--3D--,4D,END signal
1C--1D--2N--3C--3D--,4H,!S SLAB 6-12
1C--1D--2N--3C--,3H,4!S; 4-3-3-3
1C--1D--2N--3C--3H--,3N,Signoff
1C--1D--2N--3C--3H--,3S,Signoff
1C--1D--2N--3C--3H--,4C,!S SLAB 6-12
1C--1D--2N--3C--3H--,4D,END signal
1C--1D--2N--3C--3H--,4H,!H SLAB 6-12
1C--1D--2N--3C--3H--,--,To play
1C--1D--2N--3C--,3N,4-4-2-3; 4-4-3-2
1C--1D--2N--3C--3N--,4C,!H SLAB 6-12
1C--1D--2N--3C--3N--,4D,END signal
1C--1D--2N--3C--3N--,4H,!S SLAB 6-12
1C--1D--2N--3C--3N--,--,To play
1C--1D--2N--3C--,3S,No 4card MAJOR
1C--1D--2N--3C--3S--,3N,Signoff
1C--1D--2N--3C--3S--,4C,!H SLAB 6-12
1C--1D--2N--3C--3S--,4D,END signal
1C--1D--2N--3C--3S--,4H,!S SLAB 6-12
1C--1D--2N--3C--3S--,--,To play
1C--1D--,2S,10-11HcP; 5+!S
1C--1D--2S--,2N,GF Relay
1C--1D--2S--2N--,3C,5!S + 2!H
1C--1D--2S--2N--3C--,3D,ASK distrib
1C--1D--2S--2N--3C--3D--,3H,5-2-4-2
1C--1D--2S--2N--3C--3D--,3N,5-2-3-3
1C--1D--2S--2N--3C--3D--,3S,5-2-2-4
1C--1D--2S--2N--3C--,3H,Signoff
1C--1D--2S--2N--3C--,3N,Signoff
1C--1D--2S--2N--3C--,3S,Signoff
1C--1D--2S--2N--3C--,4H,Signoff
1C--1D--2S--2N--3C--,4S,Signoff
1C--1D--2S--2N--,3D,5!S + 3!H
1C--1D--2S--2N--3D--,3H,Signoff
1C--1D--2S--2N--3D--,3N,Signoff
1C--1D--2S--2N--3D--,3S,Signoff
1C--1D--2S--2N--3D--,4C,!S SLAB 6-12
1C--1D--2S--2N--3D--,4D,END signal
1C--1D--2S--2N--3D--,4H,!H SLAB 6-12
1C--1D--2S--2N--,3H,5!S + 4!H
1C--1D--2S--2N--3H--,3N,Signoff
1C--1D--2S--2N--3H--,3S,Signoff
1C--1D--2S--2N--3H--,4C,!S SLAB 6-12
1C--1D--2S--2N--3H--,4D,END signal
1C--1D--2S--2N--3H--,4H,!H SLAB 6-12
1C--1D--2S--2N--3H--,--,To play
1C--1D--2S--2N--,3N,6!S + 3!H
1C--1D--2S--2N--3N--,4C,!S SLAB 6-12
1C--1D--2S--2N--3N--,4D,END signal
1C--1D--2S--2N--3N--,4H,!H SLAB 6-12
1C--1D--2S--2N--3N--,--,To play
1C--1D--2S--2N--,3S,6+!S + 2!H
1C--1D--2S--2N--3S--,3N,Signoff
1C--1D--2S--2N--3S--,4C,ASK distrib
1C--1D--2S--2N--3S--4C--,4D,6-2-2-3; 6-2-3-2
1C--1D--2S--2N--3S--4C--4D--,4H,Signoff
1C--1D--2S--2N--3S--4C--4D--,4N,!S SLAB 6-12
1C--1D--2S--2N--3S--4C--4D--,4S,Signoff
1C--1D--2S--2N--3S--4C--4D--,5C,!H SLAB 6-12
1C--1D--2S--2N--3S--4C--,4H,7-2-2-2
1C--1D--2S--2N--3S--4C--4H--,4N,!S SLAB 6-12
1C--1D--2S--2N--3S--4C--4H--,4S,Signoff
1C--1D--2S--2N--3S--4C--4H--,5C,!H SLAB 6-12
1C--1D--2S--2N--3S--4C--4H--,--,To play
1C--1D--2S--2N--3S--,4D,END signal
1C--1D--2S--2N--3S--,4H,!S SLAB 6-12
1C--1D--2S--2N--3S--,4S,!H SLAB 6-12
1C--1D--2S--,--,13-15HcP; Signoff
1C--1D--,3C,10-11HcP; 2-2-2-7
1C--1D--3C--,3D,!C SLAB 6-12
1C--1D--3C--,3H,!H SLAB 6-12
1C--1D--3C--,3N,Signoff
1C--1D--3C--,3S,!S SLAB 6-12
1C--1D--3C--,4D,END signal
1C--1D--,3D,10-11HcP; 2-2-7-2
1C--1D--3D--,3H,!D SLAB 6-12
1C--1D--3D--,3N,Signoff
1C--1D--3D--,3S,!H SLAB 6-12
1C--1D--3D--,4C,!S SLAB 6-12
1C--1D--3D--,4D,END signal
1C--1D--,3H,10-11HcP; 2-7-2-2
1C--1D--3H--,3N,Signoff
1C--1D--3H--,3S,!H SLAB 6-12
1C--1D--3H--,4C,!S SLAB 6-12
1C--1D--3H--,4D,END signal
1C--1D--,3N,10-11HcP; 3244; 3334. No 4card MAJOR
1C--1D--3N--,4C,!H SLAB 6-12
1C--1D--3N--,4D,END signal
1C--1D--3N--,4H,!S SLAB 6-12
1C--1D--3N--,--,To play
1C--1D--,3S,10-11HcP; 7-2-2-2
1C--1D--3S--,3N,Signoff
1C--1D--3S--,4C,!S SLAB 6-12
1C--1D--3S--,4D,END signal
1C--1D--3S--,4H,!H SLAB 6-12
1C--,1H,13-18HcP; 0-1!H; else ANY
1C--1H--,1N,Balanced
1C--1H--1N--,2C,Stayman
1C--1H--,1S,ASK distrib
1C--1H--1S--,1N,3-suiter. 4-1-4-4 or any 5440 
1C--1H--1S--1N--,2C,ASK distrib
1C--1H--1S--1N--2C--,2D,minimum; 4-1-4-4
1C--1H--1S--1N--2C--,2H,4-0-4-5
1C--1H--1S--1N--2C--2H--,2S,ASK range
1C--1H--1S--1N--2C--,2N,minimum; 5-0-4-4
1C--1H--1S--1N--2C--,2S,4-0-5-4
1C--1H--1S--1N--2C--2S--,2N,ASK range
1C--1H--1S--1N--2C--,3C,MAXIMUM; 5-0-4-4
1C--1H--1S--1N--2C--,3D,MAXIMUM; 4-1-4-4
1C--1H--1S--,2C,5+!C
1C--1H--1S--2C--,2D,ASK distrib
1C--1H--1S--2C--2D--,2N,Please read chat#2-suiter; !C+!D. *5-4; min/MAX  *6-4; min
1C--1H--1S--2C--2D--2N--,3C,ASK distrib
1C--1H--1S--2C--2D--2N--3C--,3D,min; 1-3-4-5
1C--1H--1S--2C--2D--2N--3C--,3H,MAX; 3-1-4-5
1C--1H--1S--2C--2D--2N--3C--,3N,min; 3-0-4-6
1C--1H--1S--2C--2D--2N--3C--,3S,min; 2-1-4-6
1C--1H--1S--2C--2D--,2S,6+!C; 1-suiter
1C--1H--1S--2C--2D--2S--,2N,ASK distrib
1C--1H--1S--2C--2D--2S--2N--,3C,min; 3-1-3-6
1C--1H--1S--2C--2D--2S--2N--,3D,MAX; 3-1-3-6
1C--1H--1S--2C--2D--2S--2N--,3H,min; 2-1-3-7; 3-1-2-7
1C--1H--1S--2C--2D--2S--2N--,3N,MAX; 2-1-3-7; 3-1-2-7
1C--1H--1S--2C--2D--2S--2N--,3S,min; 3-0-3-7
1C--1H--1S--2C--2D--2S--2N--,4C,MAX; 3-0-3-7
1C--1H--1S--2C--2D--,3C,Please read chat#2-suiter; !C+!S. *5-4; min/MAX  *6-4; min
1C--1H--1S--2C--2D--3C--,3D,ASK distrib
1C--1H--1S--2C--2D--3C--3D--,3H,min; 4-1-3-5
1C--1H--1S--2C--2D--3C--3D--,3N,min; 4-1-2-6
1C--1H--1S--2C--2D--3C--3D--,3S,MAX; 4-1-3-5
1C--1H--1S--2C--2D--3C--3D--,4C,min; 4-0-3-6
1C--1H--1S--2C--2D--,3D,MAXIMUM; 2-1-4-6
1C--1H--1S--2C--2D--,3H,MAXIMUM; 4-1-2-6
1C--1H--1S--2C--2D--,3N,MAXIMUM; 4-0-3-6
1C--1H--1S--2C--2D--,3S,MAXIMUM; 3-0-4-6
1C--1H--1S--2C--,3N,Signoff
1C--1H--1S--2C--,4H,Signoff
1C--1H--1S--2C--,4S,Signoff
1C--1H--1S--2C--,5C,Signoff
1C--1H--1S--2C--,5D,Signoff
1C--1H--1S--,2D,5+!D
1C--1H--1S--2D--,2H,ASK distrib
1C--1H--1S--2D--2H--,2N,Please read chat#2-suiter; !C+!D. *5-4; min/MAX  *6-4; min
1C--1H--1S--2D--2H--2N--,3C,ASK distrib
1C--1H--1S--2D--2H--2N--3C--,3D,min; 3-1-5-4
1C--1H--1S--2D--2H--2N--3C--,3H,MAX; 3-1-5-4
1C--1H--1S--2D--2H--2N--3C--,3N,min; 3-0-6-4
1C--1H--1S--2D--2H--2N--3C--,3S,min; 2-1-6-4
1C--1H--1S--2D--2H--,2S,6+!D; 1-suiter
1C--1H--1S--2D--2H--2S--,2N,ASK distrib
1C--1H--1S--2D--2H--2S--2N--,3C,min; 3-1-6-3
1C--1H--1S--2D--2H--2S--2N--,3D,MAX; 3-1-6-3
1C--1H--1S--2D--2H--2S--2N--,3H,min; 3-1-7-2; 2-1-7-3
1C--1H--1S--2D--2H--2S--2N--,3N,MAX; 3-1-7-2; 2-1-7-3
1C--1H--1S--2D--2H--2S--2N--,3S,min; 3-0-7-3
1C--1H--1S--2D--2H--2S--2N--,4C,MAX; 3-0-7-3
1C--1H--1S--2D--2H--,3C,Please read chat#2-suiter; !D+!S. *5-4; min/MAX  *6-4; min
1C--1H--1S--2D--2H--3C--,3D,ASK distrib
1C--1H--1S--2D--2H--3C--3D--,3H,min; 4-1-5-3
1C--1H--1S--2D--2H--3C--3D--,3N,min; 4-1-6-2
1C--1H--1S--2D--2H--3C--3D--,3S,MAX; 4-1-5-3
1C--1H--1S--2D--2H--3C--3D--,4C,min; 4-0-6-3
1C--1H--1S--2D--2H--,3D,MAXIMUM; 2-1-6-4
1C--1H--1S--2D--2H--,3H,MAXIMUM; 4-1-6-2
1C--1H--1S--2D--2H--,3N,MAXIMUM; 4-0-6-3
1C--1H--1S--2D--2H--,3S,MAXIMUM; 3-0-6-4
1C--1H--1S--2D--,3N,Signoff
1C--1H--1S--2D--,4H,Signoff
1C--1H--1S--2D--,4S,Signoff
1C--1H--1S--2D--,5C,Signoff
1C--1H--1S--2D--,5D,Signoff
1C--1H--1S--,2H,5+!S + a 4card minor
1C--1H--1S--2H--,2S,ASK distrib
1C--1H--1S--2H--2S--,2N,Please read chat#2-suiter; !S+!C. *5-4; min/MAX  *6-4; min
1C--1H--1S--2H--2S--2N--,3C,ASK distrib
1C--1H--1S--2H--2S--2N--3C--,3D,min; 5-1-3-4
1C--1H--1S--2H--2S--2N--3C--,3H,MAX; 5-1-3-4
1C--1H--1S--2H--2S--2N--3C--,3N,min; 6-0-3-4
1C--1H--1S--2H--2S--2N--3C--,3S,min; 6-1-2-4
1C--1H--1S--2H--2S--,3C,Please read chat#2-suiter; !S+!D. *5-4; min/MAX  *6-4; min
1C--1H--1S--2H--2S--3C--,3D,ASK distrib
1C--1H--1S--2H--2S--3C--3D--,3H,min; 5-1-4-3
1C--1H--1S--2H--2S--3C--3D--,3N,min; 6-1-4-2
1C--1H--1S--2H--2S--3C--3D--,3S,MAX; 5-1-4-3
1C--1H--1S--2H--2S--3C--3D--,4C,min; 6-0-4-3
1C--1H--1S--2H--2S--,3D,MAXIMUM; 6-1-2-4
1C--1H--1S--2H--2S--,3H,MAXIMUM; 6-1-4-2
1C--1H--1S--2H--2S--,3N,MAXIMUM; 6-0-4-3
1C--1H--1S--2H--2S--,3S,MAXIMUM; 6-0-3-4
1C--1H--1S--2H--,3N,Signoff
1C--1H--1S--2H--,4H,Signoff
1C--1H--1S--2H--,4S,Signoff
1C--1H--1S--2H--,5C,Signoff
1C--1H--1S--2H--,5D,Signoff
1C--1H--1S--,2N,5!C + 5!D
1C--1H--1S--2N--,3C,ASK distrib
1C--1H--1S--2N--3C--,3D,minimum; 2-1-5-5
1C--1H--1S--2N--3C--,3H,minimum; 3-0-5-5
1C--1H--1S--2N--3C--,3N,MAXIMUM; 3-0-5-5
1C--1H--1S--2N--3C--,3S,MAXIMUM; 2-1-5-5
1C--1H--1S--2N--,3N,Signoff
1C--1H--1S--2N--,4H,Signoff
1C--1H--1S--2N--,4S,Signoff
1C--1H--1S--2N--,5C,Signoff
1C--1H--1S--2N--,5D,Signoff
1C--1H--1S--2N--,--,To play
1C--1H--1S--,2S,6+!S; 1-suiter
1C--1H--1S--2S--,2N,ASK distrib
1C--1H--1S--2S--2N--,3C,minimum; 6-1-3-3
1C--1H--1S--2S--2N--,3D,MAXIMUM; 6-1-3-3
1C--1H--1S--2S--2N--,3H,minimum; 7-1-3-2; 7-1-2-3
1C--1H--1S--2S--2N--,3N,MAXIMUM; 7-1-3-2; 7-1-2-3
1C--1H--1S--2S--2N--,3S,minimum; 7-0-3-3
1C--1H--1S--2S--2N--,4C,MAXIMUM; 7-0-3-3
1C--1H--1S--2S--,3N,Signoff
1C--1H--1S--2S--,4H,Signoff
1C--1H--1S--2S--,4S,Signoff
1C--1H--1S--2S--,5C,Signoff
1C--1H--1S--2S--,5D,Signoff
1C--1H--1S--2S--,--,To play
1C--1H--1S--,3C,5!C + 5!S
1C--1H--1S--3C--,3D,ASK distrib
1C--1H--1S--3C--3D--,3H,minimum; 5-1-2-5
1C--1H--1S--3C--3D--,3N,MAXIMUM; 5-1-2-5
1C--1H--1S--3C--3D--,3S,minimum; 5-0-3-5
1C--1H--1S--3C--3D--,4C,MAXIMUM; 5-0-3-5
1C--1H--1S--3C--,3N,Signoff
1C--1H--1S--3C--,4H,Signoff
1C--1H--1S--3C--,4S,Signoff
1C--1H--1S--3C--,5C,Signoff
1C--1H--1S--3C--,5D,Signoff
1C--1H--1S--3C--,--,To play
1C--1H--1S--,3D,minimum; 5-1-5-2
1C--1H--1S--,3H,minimum; 5-0-5-3
1C--1H--1S--,3N,MAXIMUM; 5-0-5-3
1C--1H--1S--,3S,MAXIMUM; 5-1-5-2
1C--1H--,2C,5+!C
1C--1H--,2D,5+!D
1C--1H--,2H,6+!H
1C--1H--,2N,Strong; invite
1C--1H--,2S,5+!S
1C--1H--,3N,Signoff
1C--,1N,13-18HcP; 0-1!D; A 5card MAJOR
1C--1N--,2C,ASK distrib
1C--1N--2C--,2D,5+!H
1C--1N--2C--2D--,2H,ASK distrib
1C--1N--2C--2D--2H--,2N,Please read chat#2-suiter; !H + !C. 5-4; min/MAX  or 6-4;min
1C--1N--2C--2D--2H--2N--,3C,ASK distrib
1C--1N--2C--2D--2H--2N--3C--,3D,min; 3-5-1-4
1C--1N--2C--2D--2H--2N--3C--,3H,MAX; 3-5-1-4
1C--1N--2C--2D--2H--2N--3C--,3N,min; 4-6-0-3
1C--1N--2C--2D--2H--2N--3C--,3S,min; 2-6-1-4
1C--1N--2C--2D--2H--,2S,6+!H; 1-suiter
1C--1N--2C--2D--2H--2S--,2N,ASK distrib
1C--1N--2C--2D--2H--2S--2N--,3C,min; 3-6-1-3
1C--1N--2C--2D--2H--2S--2N--,3D,MAX; 3-6-1-3
1C--1N--2C--2D--2H--2S--2N--,3H,min; 3-7-1-2; 2-7-1-3
1C--1N--2C--2D--2H--2S--2N--,3N,MAX; 3-7-1-2; 2-7-1-3
1C--1N--2C--2D--2H--2S--2N--,3S,min; 3-7-0-3
1C--1N--2C--2D--2H--2S--2N--,4C,MAX; 3-7-0-3
1C--1N--2C--2D--2H--,3C,Please read chat#2-suiter; !H + !S. 5-4; min/MAX  or 6-4;min
1C--1N--2C--2D--2H--3C--,3D,ASK distrib
1C--1N--2C--2D--2H--3C--3D--,3H,min; 4-5-1-3
1C--1N--2C--2D--2H--3C--3D--,3N,min; 4-6-1-2
1C--1N--2C--2D--2H--3C--3D--,3S,MAX; 4-5-1-3
1C--1N--2C--2D--2H--3C--3D--,4C,min; 4-6-0-3
1C--1N--2C--2D--2H--,3D,4-5-0-4
1C--1N--2C--2D--2H--3D--,3H,ASK range
1C--1N--2C--2D--2H--3D--3H--,3N,MAXIMUM
1C--1N--2C--2D--2H--3D--3H--,3S,minimum
1C--1N--2C--2D--2H--,3H,MAXIMUM; 4-6-1-2
1C--1N--2C--2D--2H--,3N,MAXIMUM; 2-6-1-4
1C--1N--2C--2D--2H--,3S,MAXIMUM; 4-6-0-3
1C--1N--2C--2D--2H--,4C,MAXIMUM; 3-6-0-4
1C--1N--2C--,2H,*5+!S + 4!C    *5+!S + 4!H
1C--1N--2C--2H--,2S,ASK distrib
1C--1N--2C--2H--2S--,2N,Please read chat#2-suiter; !S + !C. 5-4; min/MAX  or 6-4;min
1C--1N--2C--2H--2S--2N--,3C,ASK distrib
1C--1N--2C--2H--2S--2N--3C--,3D,min; 5-3-1-4
1C--1N--2C--2H--2S--2N--3C--,3H,MAX; 5-3-1-4
1C--1N--2C--2H--2S--2N--3C--,3N,min; 6-3-0-4
1C--1N--2C--2H--2S--2N--3C--,3S,min; 6-2-1-4
1C--1N--2C--2H--2S--,3C,Please read chat#2-suiter; !H + !S. 5-4; min/MAX  or 6-4;min
1C--1N--2C--2H--2S--3C--,3D,ASK distrib
1C--1N--2C--2H--2S--3C--3D--,3H,min; 5-4-1-3
1C--1N--2C--2H--2S--3C--3D--,3N,min; 6-4-1-2
1C--1N--2C--2H--2S--3C--3D--,3S,MAX; 5-4-1-3
1C--1N--2C--2H--2S--3C--3D--,4C,min; 6-4-0-3
1C--1N--2C--2H--2S--,3D,3-suiter; 5-4-0-4
1C--1N--2C--2H--2S--3D--,3H,ASK range
1C--1N--2C--2H--2S--3D--3H--,3N,MAXIMUM
1C--1N--2C--2H--2S--3D--3H--,3S,minimum
1C--1N--2C--2H--2S--,3H,MAXIMUM; 6-2-1-4
1C--1N--2C--2H--2S--,3N,MAXIMUM; 6-3-0-4
1C--1N--2C--2H--2S--,3S,MAXIMUM; 6-4-1-2
1C--1N--2C--2H--2S--,4C,MAXIMUM; 6-4-0-3
1C--1N--2C--,2N,5!H + 5!C
1C--1N--2C--2N--,3C,ASK distrib
1C--1N--2C--2N--3C--,3D,min; 2-5-1-5
1C--1N--2C--2N--3C--,3H,min; 3-5-0-5
1C--1N--2C--2N--3C--,3N,MAX; 3-5-0-5
1C--1N--2C--2N--3C--,3S,MAX; 2-5-1-5
1C--1N--2C--,2S,6+!S; 1-suiter
1C--1N--2C--2S--,2N,ASK distrib
1C--1N--2C--2S--2N--,3C,min; 6-3-1-3
1C--1N--2C--2S--2N--,3D,MAX; 6-3-1-3
1C--1N--2C--2S--2N--,3H,min; 7-3-1-2; 7-2-1-3
1C--1N--2C--2S--2N--,3N,MAX; 7-3-1-2; 7-2-1-3
1C--1N--2C--2S--2N--,3S,min; 7-3-0-3
1C--1N--2C--2S--2N--,4C,MAX; 7-3-0-3
1C--1N--2C--,3C,5!S + 5!C
1C--1N--2C--3C--,3D,ASK distrib
1C--1N--2C--3C--3D--,3H,min; 5-2-1-5
1C--1N--2C--3C--3D--,3N,MAX; 5-2-1-5
1C--1N--2C--3C--3D--,3S,min; 5-3-0-5
1C--1N--2C--3C--3D--,4C,MAX; 5-3-0-5
1C--1N--2C--,3D,min; 5-5-1-2
1C--1N--2C--,3H,min; 5-5-0-3
1C--1N--2C--,3N,MAX; 5-5-0-3
1C--1N--2C--,3S,MAX; 5-5-1-2
1C--1N--,2D,Unlimited ask for 5card MAJOR
1C--1N--,2H,Pass/correct
1C--1N--,2N,Strong invite
1C--1N--,2S,Pass/correct
1C--1N--,3N,Signoff
1C--1N--,4H,Pass/correct
1C--1N--,4S,Pass/correct
1C--,1S,13-18HcP; 0-1!S; else ANY
1C--1S--,1N,ASK distrib
1C--1S--1N--,2C,*5+!C   *1-4-4-4    *All 5440 dist
1C--1S--1N--2C--,2D,ASK distrib
1C--1S--1N--2C--2D--,2H,All 3-suiters 
1C--1S--1N--2C--2D--2H--,2S,ASK distrib
1C--1S--1N--2C--2D--2H--2S--,2N,min; 1-4-4-4
1C--1S--1N--2C--2D--2H--2S--,3C,0-4-4-5
1C--1S--1N--2C--2D--2H--2S--,3D,0-4-5-4
1C--1S--1N--2C--2D--2H--2S--,3H,min; 0-5-4-4
1C--1S--1N--2C--2D--2H--2S--,3N,MAX; 1-4-4-4
1C--1S--1N--2C--2D--2H--2S--,3S,MAX; 0-5-4-4
1C--1S--1N--2C--2D--,2N,Please read chat#2-suiter; !C + !D.  5-4; min/MAX or 6-4; min
1C--1S--1N--2C--2D--2N--,3C,ASK distrib
1C--1S--1N--2C--2D--2N--3C--,3D,min; 1-3-4-5
1C--1S--1N--2C--2D--2N--3C--,3H,MAX; 1-3-4-5
1C--1S--1N--2C--2D--2N--3C--,3N,min; 0-3-4-6
1C--1S--1N--2C--2D--2N--3C--,3S,min; 1-2-4-6
1C--1S--1N--2C--2D--,2S,6+!C; 1-suiter
1C--1S--1N--2C--2D--2S--,2N,ASK distrib
1C--1S--1N--2C--2D--2S--2N--,3C,min; 1-3-3-6
1C--1S--1N--2C--2D--2S--2N--,3D,MAX; 1-3-3-6
1C--1S--1N--2C--2D--2S--2N--,3H,min; 1-2-3-7; 1-3-2-7
1C--1S--1N--2C--2D--2S--2N--,3N,MAX; 1-2-3-7; 1-3-2-7
1C--1S--1N--2C--2D--2S--2N--,3S,min; 0-3-3-7
1C--1S--1N--2C--2D--2S--2N--,4C,MAX; 0-3-3-7
1C--1S--1N--2C--2D--,3C,Please read chat#2-suiter; !C + !H.  5-4; min/MAX or 6-4; min
1C--1S--1N--2C--2D--3C--,3D,ASK distrib
1C--1S--1N--2C--2D--3C--3D--,3H,min; 1-4-3-5
1C--1S--1N--2C--2D--3C--3D--,3N,min; 1-4-2-6
1C--1S--1N--2C--2D--3C--3D--,3S,MAX; 1-4-3-5
1C--1S--1N--2C--2D--3C--3D--,4C,min; 0-4-3-6
1C--1S--1N--2C--2D--,3D,MAXIMUM; 1-2-4-6
1C--1S--1N--2C--2D--,3H,MAXIMUM; 1-4-2-6
1C--1S--1N--2C--2D--,3N,MAXIMUM; 0-4-3-6
1C--1S--1N--2C--2D--,3S,MAXIMUM; 0-3-4-6
1C--1S--1N--,2D,5+!D
1C--1S--1N--2D--,2H,ASK distrib
1C--1S--1N--2D--2H--,2N,Please read chat#2-suiter; !D + !C. 5-4; min/MAX  or 6-4;min
1C--1S--1N--2D--2H--2N--,3C,ASK distrib
1C--1S--1N--2D--2H--2N--3C--,3D,min; 1-3-5-4
1C--1S--1N--2D--2H--2N--3C--,3H,MAX; 1-3-5-4
1C--1S--1N--2D--2H--2N--3C--,3N,min; 0-3-6-4
1C--1S--1N--2D--2H--2N--3C--,3S,min; 1-2-6-4
1C--1S--1N--2D--2H--,2S,6+!D; 1-suiter
1C--1S--1N--2D--2H--2S--,2N,ASK distrib
1C--1S--1N--2D--2H--2S--2N--,3C,min; 1-3-6-3
1C--1S--1N--2D--2H--2S--2N--,3D,MAX; 1-3-6-3
1C--1S--1N--2D--2H--2S--2N--,3H,min; 1-3-7-2; 1-2-7-3
1C--1S--1N--2D--2H--2S--2N--,3N,MAX; 1-3-7-2; 1-2-7-3
1C--1S--1N--2D--2H--2S--2N--,3S,min; 0-3-7-3
1C--1S--1N--2D--2H--2S--2N--,4C,MAX; 0-3-7-3
1C--1S--1N--2D--2H--,3C,Please read chat#2-suiter; !D + !H. 5-4; min/MAX  or 6-4;min
1C--1S--1N--2D--2H--3C--,3D,ASK distrib
1C--1S--1N--2D--2H--3C--3D--,3H,min; 1-4-5-3
1C--1S--1N--2D--2H--3C--3D--,3N,min; 1-4-6-2
1C--1S--1N--2D--2H--3C--3D--,3S,MAX; 1-4-5-3
1C--1S--1N--2D--2H--3C--3D--,4C,MAX; 1-4-6-3
1C--1S--1N--2D--2H--,3D,MAXIMUM; 1-2-6-4
1C--1S--1N--2D--2H--,3H,MAXIMUM; 1-4-6-2
1C--1S--1N--2D--2H--,3N,MAXIMUM; 0-4-6-3
1C--1S--1N--2D--2H--,3S,MAXIMUM; 0-3-6-4
1C--1S--1N--,2H,5+!H; 5-4 or 6-4 dist
1C--1S--1N--2H--,2S,ASK distrib
1C--1S--1N--,2N,5!C + 5!D
1C--1S--1N--2N--,3C,ASK distrib
1C--1S--1N--2N--3C--,3D,min; 1-2-5-5
1C--1S--1N--2N--3C--,3H,min; 0-3-5-5
1C--1S--1N--2N--3C--,3N,MAX; 0-3-5-5
1C--1S--1N--2N--3C--,3S,MAX; 1-2-5-5
1C--1S--1N--,2S,6+!H; 1-suiter
1C--1S--1N--2S--,2N,ASK distrib
1C--1S--1N--2S--2N--,3C,min; 1-6-3-3
1C--1S--1N--2S--2N--,3D,MAX; 1-6-3-3
1C--1S--1N--2S--2N--,3H,min; 1-7-3-2; 1-7-2-3
1C--1S--1N--2S--2N--,3N,MAX; 1-7-3-2; 1-7-2-3
1C--1S--1N--2S--2N--,3S,min; 0-7-3-3
1C--1S--1N--2S--2N--,4C,MAX; 0-7-3-3
1C--1S--1N--,3C,5!C + 5!H
1C--1S--1N--3C--,3D,ASK distrib
1C--1S--1N--3C--3D--,3H,min; 1-5-2-5
1C--1S--1N--3C--3D--,3N,MAX; 1-5-2-5
1C--1S--1N--3C--3D--,3S,min; 1-5-3-5
1C--1S--1N--3C--3D--,4C,MAX; 0-5-3-5
1C--1S--1N--,3D,min; 1-5-5-2
1C--1S--1N--,3H,min; 0-5-5-3
1C--1S--1N--,3N,MAX; 0-5-5-3
1C--1S--1N--,3S,MAX; 1-5-5-2
1C--1S--,2C,5+!C
1C--1S--,2D,5+!D
1C--1S--,2H,5+!H
1C--1S--2H--,2S,ASK distrib
1C--1S--2H--2S--,2N,Please read chat#2-suiter; !H + !C. 5-4; min/MAX  or 6-4;min
1C--1S--2H--2S--2N--,3C,ASK distrib
1C--1S--2H--2S--2N--3C--,3D,min; 1-5-3-4
1C--1S--2H--2S--2N--3C--,3H,MAX; 1-5-3-4
1C--1S--2H--2S--2N--3C--,3N,min; 0-6-4-3
1C--1S--2H--2S--2N--3C--,3S,min; 1-6-2-4
1C--1S--2H--2S--,3C,Please read chat#2-suiter; !H + !D. 5-4; min/MAX  or 6-4;min
1C--1S--2H--2S--3C--,3D,ASK distrib
1C--1S--2H--2S--3C--3D--,3H,min; 1-5-4-3
1C--1S--2H--2S--3C--3D--,3N,min; 1-6-4-2
1C--1S--2H--2S--3C--3D--,3S,MAX; 1-5-4-3
1C--1S--2H--2S--3C--3D--,4C,min; 0-6-4-3
